elem,x,y,r,lam_r,lam_t,f_NE,f_SP,f_PE,f_PCC,f_NCC
1.0,0.0020165141832505992,1.760018953668189e-5,0.00201659098924957,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
2.0,0.002016435244360833,5.280455273148848e-5,0.00201712652441281,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
3.0,0.0020157415904427144,8.80115174971244e-5,0.0020176620595760506,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
4.0,0.002014433106742714,0.0001232103480652442,0.0020181975947392915,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
5.0,0.002012509866038776,0.00015839030545668307,0.002018733129902532,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
6.0,0.0020099721287173944,0.0001935406507578549,0.0020192686650657727,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
7.0,0.002006820342793431,0.00022865064839886184,0.0020198042002290135,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
8.0,0.002003055143872646,0.00026370956943231374,0.002020339735392254,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
9.0,0.0019986773550569187,0.00029870669481185793,0.0020208752705554948,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
10.0,0.0019936879867921598,0.000333631318669415,0.0020214108057187356,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
11.0,0.001988088236658931,0.0003684727515901211,0.002021946340881976,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
12.0,0.0019818794891058047,0.00040322032388397317,0.0020224818760452173,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
13.0,0.0019750633151255133,0.00043786338885317663,0.002023017411208458,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
14.0,0.0019676414718739644,0.00047239132605419483,0.0020235529463716985,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
15.0,0.0019596159022321983,0.0005067935445535008,0.0020240884815349385,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
16.0,0.0019509887343114,0.0005410594861760333,0.0020246240166981798,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
17.0,0.0019417622809010772,0.0005751786287453611,0.00202515955186142,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
18.0,0.0019319390388605605,0.0006091404893145602,0.002025695087024661,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
19.0,0.0019215216884539582,0.0006429346273868139,0.002026230622187902,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
20.0,0.0019105130926287588,0.0006765506481247435,0.0020267661573511423,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
21.0,0.0018989162962382657,0.000709978205547487,0.002027301692514383,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
22.0,0.0018867345252080647,0.0007432070057145386,0.002027837227677624,0.9559533104536664,34.207261410788384,0.44190871369294604,0.06224066390041494,0.3921161825726141,0.05186721991701245,0.05186721991701245
