x,Up_V,Un_V,OCV_V,Up_nd,Un_nd,OCV_nd
0.03343500,4.65115120,0.93430208,3.71684911,181.12204144,36.38297134,144.73907010
0.03393400,4.65074028,0.92395099,3.72678928,181.10603960,35.97988595,145.12615365
0.03443300,4.65032925,0.91379995,3.73652930,181.09003374,35.58459084,145.50544290
0.03493200,4.64991812,0.90384503,3.74607309,181.07402379,35.19693301,145.87709078
0.03543100,4.64950688,0.89408238,3.75542450,181.05800970,34.81676242,146.24124728
0.03593000,4.64909554,0.88450822,3.76458732,181.04199140,34.44393186,146.59805955
0.03642900,4.64868409,0.87511885,3.77356524,181.02596885,34.07829698,146.94767187
0.03692800,4.64827252,0.86591061,3.78236191,181.00994198,33.71971616,147.29022582
0.03742700,4.64786084,0.85687996,3.79098088,180.99391072,33.36805051,147.62586021
0.03792600,4.64744905,0.84802339,3.79942566,180.97787502,33.02316379,147.95471123
0.03842500,4.64703715,0.83933747,3.80769968,180.96183482,32.68492234,148.27691248
0.03892400,4.64662512,0.83081883,3.81580630,180.94579004,32.35319506,148.59259498
0.03942300,4.64621298,0.82246416,3.82374881,180.92974063,32.02785336,148.90188728
0.03992200,4.64580072,0.81427024,3.83153047,180.91368653,31.70877107,149.20491546
0.04042100,4.64538833,0.80623388,3.83915445,180.89762766,31.39582444,149.50180321
0.04092000,4.64497582,0.79835196,3.84662385,180.88156395,31.08889207,149.79267189
0.04141900,4.64456318,0.79062143,3.85394175,180.86549535,30.78785483,150.07764052
0.04191800,4.64415042,0.78303929,3.86111113,180.84942178,30.49259589,150.35682589
0.04241700,4.64373753,0.77560258,3.86813495,180.83334317,30.20300060,150.63034257
0.04291600,4.64332450,0.76830842,3.87501608,180.81725945,29.91895648,150.89830297
0.04341500,4.64291134,0.76115399,3.88175736,180.80117055,29.64035319,151.16081736
0.04391400,4.64249805,0.75413649,3.88836156,180.78507639,29.36708244,151.41799395
0.04441300,4.64208462,0.74725320,3.89483142,180.76897691,29.09903800,151.66993891
0.04491200,4.64167105,0.74050145,3.90116961,180.75287203,28.83611563,151.91675640
0.04541100,4.64125735,0.73387860,3.90737875,180.73676166,28.57821303,152.15854863
0.04591000,4.64084349,0.72738208,3.91346142,180.72064575,28.32522984,152.39541591
0.04640900,4.64042950,0.72100936,3.91942014,180.70452420,28.07706754,152.62745666
0.04690800,4.64001536,0.71475795,3.92525741,180.68839693,27.83362948,152.85476745
0.04740700,4.63960107,0.70862543,3.93097564,180.67226388,27.59482079,153.07744308
0.04790600,4.63918662,0.70260939,3.93657723,180.65612495,27.36054837,153.29557658
0.04840500,4.63877203,0.69670750,3.94206453,180.63998007,27.13072085,153.50925922
0.04890400,4.63835728,0.69091745,3.94743983,180.62382915,26.90524852,153.71858063
0.04940300,4.63794237,0.68523698,3.95270539,180.60767210,26.68404336,153.92362874
0.04990200,4.63752730,0.67966387,3.95786344,180.59150885,26.46701895,154.12448990
0.05040100,4.63711208,0.67419594,3.96291614,180.57533930,26.25409047,154.32124883
0.05090000,4.63669668,0.66883105,3.96786563,180.55916337,26.04517464,154.51398873
0.05139900,4.63628112,0.66356711,3.97271402,180.54298096,25.84018970,154.70279126
0.05189800,4.63586540,0.65840205,3.97746335,180.52679199,25.63905538,154.88773661
0.05239700,4.63544950,0.65333385,3.98211565,180.51059636,25.44169288,155.06890348
0.05289600,4.63503343,0.64836052,3.98667291,180.49439399,25.24802482,155.24636918
0.05339500,4.63461718,0.64348011,3.99113707,180.47818478,25.05797519,155.42020959
0.05389400,4.63420076,0.63869071,3.99551005,180.46196862,24.87146938,155.59049925
0.05439300,4.63378415,0.63399042,3.99979373,180.44574543,24.68843409,155.75731134
0.05489200,4.63336736,0.62937741,4.00398995,180.42951511,24.50879736,155.92071775
0.05539100,4.63295039,0.62484986,4.00810052,180.41327756,24.33248847,156.08078909
0.05589000,4.63253322,0.62040599,4.01212724,180.39703267,24.15943799,156.23759469
0.05638900,4.63211587,0.61604403,4.01607184,180.38078035,23.98957768,156.39120267
0.05688800,4.63169832,0.61176228,4.01993604,180.36452049,23.82284051,156.54167998
0.05738700,4.63128058,0.60755904,4.02372154,180.34825299,23.65916065,156.68909234
0.05788600,4.63086263,0.60343264,4.02742999,180.33197773,23.49847336,156.83350437
0.05838500,4.63044449,0.59938147,4.03106302,180.31569462,23.34071508,156.97497954
0.05888400,4.63002614,0.59540390,4.03462224,180.29940354,23.18582330,157.11358024
0.05938300,4.62960758,0.59149837,4.03810922,180.28310438,23.03373660,157.24936778
0.05988200,4.62918882,0.58766332,4.04152550,180.26679703,22.88439461,157.38240242
0.06038100,4.62876984,0.58389722,4.04487261,180.25048137,22.73773798,157.51274339
0.06088000,4.62835064,0.58019859,4.04815205,180.23415730,22.59370836,157.64044894
0.06137900,4.62793122,0.57656595,4.05136527,180.21782469,22.45224838,157.76557630
0.06187800,4.62751159,0.57299785,4.05451374,180.20148342,22.31330164,157.88818178
0.06237700,4.62709172,0.56949286,4.05759887,180.18513338,22.17681264,158.00832074
