x,Up_V,Un_V,OCV_V
0.11577000,4.57989280,0.35387705,4.22601575
0.11626900,4.57941734,0.35217184,4.22724549
0.11676800,4.57894090,0.35046624,4.22847466
0.11726700,4.57846348,0.34876061,4.22970287
0.11776600,4.57798505,0.34705529,4.23092976
0.11826500,4.57750561,0.34535069,4.23215492
0.11876400,4.57702514,0.34364718,4.23337796
0.11926300,4.57654364,0.34194518,4.23459845
0.11976200,4.57606107,0.34024511,4.23581596
0.12026100,4.57557744,0.33854740,4.23703004
0.12076000,4.57509273,0.33685249,4.23824024
0.12125900,4.57460692,0.33516083,4.23944609
0.12175800,4.57412000,0.33347287,4.24064712
0.12225700,4.57363195,0.33178909,4.24184286
0.12275600,4.57314277,0.33010995,4.24303281
0.12325500,4.57265243,0.32843594,4.24421649
0.12375400,4.57216092,0.32676752,4.24539340
0.12425300,4.57166823,0.32510518,4.24656305
0.12475200,4.57117434,0.32344940,4.24772493
0.12525100,4.57067923,0.32180068,4.24887855
0.12575000,4.57018289,0.32015948,4.25002341
0.12624900,4.56968531,0.31852630,4.25115901
0.12674800,4.56918647,0.31690161,4.25228486
