step,time_s,phase,V,I_A,T_max_K,T_mean_K,soc_mean
87,4300.000000,rest,3.924519,0.000000,302.2113,302.1827,0.600783
88,4350.000000,rest,3.916894,0.000000,301.7416,301.7162,0.601062
89,4400.000000,rest,3.911677,0.000000,301.3244,301.3017,0.601127
90,4450.000000,rest,3.907754,0.000000,300.9536,300.9335,0.601142
91,4500.000000,rest,3.904673,0.000000,300.6242,300.6063,0.601146
92,4550.000000,rest,3.902192,0.000000,300.3315,300.3156,0.601147
93,4600.000000,rest,3.900165,0.000000,300.0715,300.0574,0.601147
94,4650.000000,rest,3.898490,0.000000,299.8405,299.8279,0.601147
95,4700.000000,rest,3.897098,0.000000,299.6352,299.6241,0.601147
96,4750.000000,rest,3.895934,0.000000,299.4528,299.4429,0.601147
