coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
519,627,547,2230,2150,6.455807999999999e-8,1
520,547,147,2150,1750,3.2279040000000007e-7,1
521,147,467,1750,2070,2.5823232e-7,1
522,467,387,2070,1990,6.455807999999995e-8,1
523,387,307,1990,1910,6.455808000000003e-8,1
524,307,227,1910,1830,6.455808000000001e-8,1
525,227,1668,1830,3271,1.1651359215779914e-6,1
526,1668,1508,3271,3111,1.2911615999999992e-7,1
527,1508,1348,3111,2951,1.2911615999999997e-7,1
528,1348,1188,2951,2791,1.2911616000000016e-7,1
529,1188,1028,2791,2631,1.2911615999999995e-7,1
530,1028,868,2631,2471,1.2911616000000003e-7,1
531,868,788,2471,2391,6.455808e-8,1
532,788,708,2391,2311,6.455807999999996e-8,1
533,708,628,2311,2231,6.455807999999997e-8,1
534,628,548,2231,2151,6.455808000000003e-8,1
535,548,228,2151,1831,2.5823232000000005e-7,1
536,228,148,1831,1751,6.455808000000003e-8,1
537,148,468,1751,2071,2.5823232000000005e-7,1
