===== JuBat Debug Log 1764687579 =====
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7600010927889743 W (nd=5.919420984294944)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7573572955040819 W (nd=5.898829238737074)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7547370938568019 W (nd=5.878421272536556)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.752144300073571 W (nd=5.858226777983813)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7495855366469975 W (nd=5.83829733569114)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7470617537038688 W (nd=5.818640345911641)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.744577494982376 W (nd=5.7992911984617885)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7421326796982481 W (nd=5.780249264137084)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.739730547980318 W (nd=5.761539779330982)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7373696398257746 W (nd=5.74315137251868)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.735052571254982 W (nd=5.725104419099617)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7327775073577572 W (nd=5.7073846275077065)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7305463176697653 W (nd=5.690006558996549)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7283566940361895 W (nd=5.672952236039285)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7262104387428665 W (nd=5.656235696100732)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7241050192595082 W (nd=5.639837214060662)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7220418781566579 W (nd=5.623768025669159)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7200184640259699 W (nd=5.608008258770457)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.71803624520427 W (nd=5.5925693498005025)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7160925208206048 W (nd=5.577430262484022)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7141886843242852 W (nd=5.562601849980528)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7123221566606471 W (nd=5.548064024805355)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7104943354636941 W (nd=5.533827672711336)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7087026122726867 W (nd=5.519872477178687)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7069484687048201 W (nd=5.506209978080177)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7052294302677844 W (nd=5.492820902336014)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7035470157318543 W (nd=5.47971707919318)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.7018988567002215 W (nd=5.46688006191798)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.700286640469576 W (nd=5.454322992359196)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6987081745718241 W (nd=5.442028794039219)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6971653050123767 W (nd=5.430011844941544)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6956560991604851 W (nd=5.418257092383854)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6941826969383242 W (nd=5.406781203579326)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6927435046713535 W (nd=5.395571765874074)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6913410516221314 W (nd=5.3846484789369615)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6899742462117707 W (nd=5.374002840786828)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6886461685205123 W (nd=5.363658841246564)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6873563619525843 W (nd=5.353612924028398)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6861086002102211 W (nd=5.343894481369269)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6849031834855501 W (nd=5.334505851375786)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6837446211619237 W (nd=5.325482156284875)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6826339139878198 W (nd=5.316831190626825)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6815761541919978 W (nd=5.308592616246944)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6805727702064318 W (nd=5.3007775587742385)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6796290566118097 W (nd=5.293427256112606)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.678746422716162 W (nd=5.28655268494038)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6779298980743764 W (nd=5.280193018954845)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6771804020716206 W (nd=5.274355418971828)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6765022415636951 W (nd=5.269073429801783)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6758954002232311 W (nd=5.264346924275721)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6753630260942629 W (nd=5.2602004215661715)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.674903748289437 W (nd=5.2566232442419505)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6745191972770592 W (nd=5.253628091532567)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6742064069324009 W (nd=5.251191861180502)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6739654237141359 W (nd=5.2493149150384575)
