node_id,x,y
1,3.31776e-7,0.0
2,3.186076458835161e-7,1.0352189951795342e-7
3,2.736352807101643e-7,1.988076685986193e-7
4,2.0070498296563525e-7,2.762467099023752e-7
5,1.0651433109458606e-7,3.2781740328304165e-7
6,2.130368139708435e-23,3.4791552000000006e-7
7,-1.0850928547900773e-7,3.3395724154939203e-7
8,-2.0829424043369868e-7,2.8669242667121865e-7
9,-2.893038558634295e-7,2.1019155480071467e-7
10,-3.431669989489176e-7,1.1150171705564042e-7
11,-3.6405504000000005e-7,4.458388394494617e-23
12,-3.4930683721526803e-7,-1.1349667144006207e-7
13,-2.99749572632273e-7,-2.1778081226877813e-7
14,-2.196781266357941e-7,-3.0236100182448387e-7
15,-1.164891030166948e-7,-3.585165946147936e-7
16,-6.984060764358545e-23,-3.8019456000000004e-7
17,1.184840574011164e-7,-3.6465643288114393e-7
18,2.272673841038575e-7,-3.128067185933274e-7
19,3.154181477855382e-7,-2.2916469847087355e-7
20,3.7386619028066955e-7,-1.2147648897774918e-7
21,3.9633408000000003e-7,-9.70738524930022e-23
22,3.800060285470199e-7,1.2347144336217072e-7
23,3.2586386455438176e-7,2.3675395593893692e-7
24,2.38651270305953e-7,3.284752937465925e-7
25,1.2646387493880357e-7,3.8921578594654545e-7
26,1.2628361849319644e-22,4.124736e-7
27,-1.2845882932322506e-7,3.953556242128959e-7
28,-2.4624052777401634e-7,3.3892101051543615e-7
29,-3.4153243970764687e-7,2.4813784214103237e-7
30,-4.045653816124214e-7,1.3145126089985797e-7
31,-4.2861312e-7,1.5746990564416812e-22
32,-4.107052198787719e-7,-1.334462152842794e-7
33,-3.5197815647649054e-7,-2.557270996090957e-7
34,-2.576244139761119e-7,-3.545895856687012e-7
35,-1.3643864686091233e-7,-4.1991497727829734e-7
36,-1.9063271394591728e-22,-4.4475264000000006e-7
37,1.384336012453337e-7,-4.2605481554464793e-7
38,2.652136714441751e-7,-3.6503530243754487e-7
39,3.676467316297555e-7,-2.6711098581119126e-7
