coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
1,311,271,712,672,1.2911616e-7,1
2,271,231,672,632,1.2911616000000005e-7,1
3,231,191,632,592,1.2911615999999992e-7,1
4,191,151,592,552,1.2911616e-7,1
5,151,412,552,813,9.177367838365825e-7,1
6,412,372,813,773,1.291161600000002e-7,1
7,372,332,773,733,1.2911615999999995e-7,1
8,332,292,733,693,1.2911615999999997e-7,1
9,292,212,693,613,2.5823232e-7,1
10,212,252,613,653,1.2911615999999984e-7,1
11,252,192,653,593,1.936742399999998e-7,1
12,192,152,593,553,1.2911616000000005e-7,1
13,152,172,553,573,6.455808000000007e-8,1
14,172,112,573,513,1.9367424000000015e-7,1
15,112,132,513,533,6.455807999999997e-8,1
16,132,72,533,473,1.936742399999999e-7,1
17,72,92,473,493,6.455808e-8,1
18,92,32,493,433,1.9367424e-7,1
19,32,52,433,453,6.455807999999996e-8,1
20,52,392,453,793,1.09748736e-6,1
21,392,352,793,753,1.2911616000000008e-7,1
22,352,312,753,713,1.2911615999999987e-7,1
23,312,272,713,673,1.291161600000001e-7,1
24,272,232,673,633,1.2911616000000005e-7,1
25,232,353,633,754,5.544124434423239e-7,1
26,353,273,754,674,2.5823232000000005e-7,1
27,273,413,674,814,4.519065600000001e-7,1
28,413,373,814,774,1.2911616e-7,1
29,373,333,774,734,1.2911616e-7,1
30,333,293,734,694,1.2911616000000013e-7,1
31,293,253,694,654,1.2911616e-7,1
32,253,193,654,594,1.9367424e-7,1
33,193,213,594,614,6.455808000000003e-8,1
34,213,153,614,554,1.9367424000000001e-7,1
35,153,173,554,574,6.455807999999996e-8,1
36,173,113,574,514,1.9367423999999988e-7,1
37,113,133,514,534,6.455807999999993e-8,1
38,133,73,534,474,1.9367423999999994e-7,1
39,73,93,474,494,6.455808000000005e-8,1
40,93,53,494,454,1.2911616000000005e-7,1
41,53,33,454,434,6.455808e-8,1
42,33,393,434,794,1.16204544e-6,1
43,393,313,794,714,2.5823232e-7,1
44,313,233,714,634,2.5823232000000005e-7,1
45,233,394,634,795,6.628476339799785e-7,1
46,394,354,795,755,1.2911616000000003e-7,1
47,354,314,755,715,1.2911616000000003e-7,1
48,314,274,715,675,1.2911616000000005e-7,1
49,274,234,675,635,1.2911616000000003e-7,1
50,234,414,635,815,5.810227200000001e-7,1
51,414,374,815,775,1.2911616000000005e-7,1
52,374,334,775,735,1.2911615999999992e-7,1
53,334,294,735,695,1.2911616000000013e-7,1
54,294,254,695,655,1.2911616000000013e-7,1
55,254,54,655,455,6.455807999999998e-7,1
56,54,194,455,595,4.519065599999999e-7,1
57,194,214,595,615,6.455808000000007e-8,1
58,214,34,615,435,5.810227200000001e-7,1
59,34,154,435,555,3.8734848e-7,1
60,154,174,555,575,6.455808000000005e-8,1
61,174,114,575,515,1.9367424000000007e-7,1
62,114,134,515,535,6.455808e-8,1
63,134,74,535,475,1.9367424e-7,1
64,74,94,475,495,6.455808000000001e-8,1
65,94,395,495,796,1.0213738037219813e-6,1
66,395,355,796,756,1.2911616000000005e-7,1
67,355,315,756,716,1.2911616000000019e-7,1
68,315,275,716,676,1.2911615999999995e-7,1
69,275,235,676,636,1.2911616000000003e-7,1
70,235,195,636,596,1.2911615999999992e-7,1
71,195,155,596,556,1.2911616000000003e-7,1
72,155,415,556,816,8.392550399999999e-7,1
73,415,115,816,516,9.683711999999998e-7,1
74,115,95,516,496,6.455807999999997e-8,1
75,95,375,496,776,9.038131200000001e-7,1
76,375,75,776,476,9.683712e-7,1
77,75,55,476,456,6.455808e-8,1
78,55,335,456,736,9.038131200000002e-7,1
79,335,35,736,436,9.683712000000003e-7,1
80,35,295,436,696,8.392550399999999e-7,1
81,295,255,696,656,1.2911616000000005e-7,1
82,255,215,656,616,1.2911615999999995e-7,1
83,215,175,616,576,1.2911615999999995e-7,1
84,175,135,576,536,1.2911616000000003e-7,1
85,135,396,536,797,9.110392443326072e-7,1
86,396,356,797,757,1.2911616e-7,1
87,356,316,757,717,1.2911616000000013e-7,1
88,316,276,717,677,1.2911616e-7,1
89,276,236,677,637,1.2911616e-7,1
90,236,216,637,617,6.455808e-8,1
91,216,196,617,597,6.455808e-8,1
92,196,176,597,577,6.455808e-8,1
93,176,156,577,557,6.455808e-8,1
94,156,136,557,537,6.455808e-8,1
95,136,116,537,517,6.455808e-8,1
96,116,96,517,497,6.455808e-8,1
97,96,76,497,477,6.455808e-8,1
98,76,56,477,457,6.455808e-8,1
99,56,36,457,437,6.455808e-8,1
100,36,416,437,817,1.22660352e-6,1
101,416,376,817,777,1.2911616e-7,1
102,376,336,777,737,1.2911616e-7,1
103,336,296,737,697,1.2911616000000013e-7,1
104,296,256,697,657,1.2911616e-7,1
105,256,417,657,818,6.777832301577474e-7,1
106,417,337,818,738,2.5823232000000016e-7,1
107,337,257,738,658,2.582323200000002e-7,1
108,257,397,658,798,4.519065600000001e-7,1
109,397,357,798,758,1.2911615999999992e-7,1
110,357,317,758,718,1.291161600000001e-7,1
111,317,277,718,678,1.2911616000000008e-7,1
112,277,237,678,638,1.2911615999999997e-7,1
113,237,217,638,618,6.455808e-8,1
114,217,197,618,598,6.455808000000001e-8,1
115,197,177,598,578,6.455808000000001e-8,1
116,177,157,578,558,6.455807999999996e-8,1
117,157,117,558,518,1.2911616000000003e-7,1
118,117,137,518,538,6.455807999999997e-8,1
119,137,97,538,498,1.2911615999999992e-7,1
