time [s],capacity [A.h],voltage [V],temperature [K],q_total [W.m-3],q_ohmic [W.m-3],q_irreversible [W.m-3],q_reversible [W.m-3],Q_total [W],Q_ohmic [W],Q_irreversible [W],Q_reversible [W]
0,0,4.11962,298.15,4460.58,589.882,3870.7,0,0.0919868,0.0121646,0.0798222,0
10,0.00416667,4.10715,298.172,4572.41,789.142,3783.26,0,0.0942929,0.0162738,0.0780191,0
20,0.00833333,4.0993,298.194,4656.63,925.324,3731.31,0,0.0960298,0.0190822,0.0769476,0
30,0.0125,4.09351,298.215,4715.67,1022.94,3692.72,0,0.0972472,0.0210953,0.0761519,0
40,0.0166667,4.08888,298.237,4756.07,1093.65,3662.43,0,0.0980805,0.0225533,0.0755272,0
50,0.0208333,4.08502,298.259,4782.89,1145.19,3637.7,0,0.0986336,0.0236162,0.0750173,0
60,0.025,4.08169,298.281,4799.82,1182.96,3616.87,0,0.0989827,0.0243951,0.0745876,0
70,0.0291667,4.07876,298.302,4809.56,1210.73,3598.82,0,0.0991834,0.0249679,0.0742155,0
80,0.0333333,4.07615,298.323,4814.04,1231.22,3582.82,0,0.099276,0.0253904,0.0738856,0
90,0.0375,4.07379,298.344,4814.71,1246.37,3568.35,0,0.0992898,0.0257028,0.073587,0
100,0.0416667,4.07164,298.365,4812.6,1257.58,3555.02,0,0.0992463,0.0259341,0.0733122,0
110,0.0458333,4.06965,298.385,4808.48,1265.9,3542.58,0,0.0991612,0.0261055,0.0730557,0
120,0.05,4.06782,298.405,4802.9,1272.07,3530.83,0,0.0990462,0.0262328,0.0728133,0
130,0.0541667,4.06611,298.425,4796.29,1276.66,3519.62,0,0.0989098,0.0263276,0.0725822,0
140,0.0583333,4.0645,298.445,4788.94,1280.09,3508.85,0,0.0987583,0.0263982,0.0723601,0
150,0.0625,4.063,298.464,4781.08,1282.64,3498.43,0,0.0985962,0.0264509,0.0721453,0
160,0.0666667,4.06159,298.483,4772.86,1284.55,3488.31,0,0.0984268,0.0264902,0.0719365,0
170,0.0708333,4.06025,298.502,4764.42,1285.98,3478.44,0,0.0982526,0.0265197,0.071733,0
180,0.075,4.05899,298.52,4755.83,1287.05,3468.78,0,0.0980756,0.0265418,0.0715338,0
190,0.0791667,4.05779,298.539,4747.17,1287.86,3459.31,0,0.0978969,0.0265584,0.0713385,0
200,0.0833333,4.05666,298.556,4738.47,1288.47,3450,0,0.0977175,0.026571,0.0711465,0
210,0.0875,4.05558,298.574,4729.77,1288.93,3440.85,0,0.0975382,0.0265805,0.0709577,0
220,0.0916667,4.05455,298.592,4721.1,1289.27,3431.83,0,0.0973592,0.0265876,0.0707717,0
230,0.0958333,4.05358,298.609,4712.47,1289.53,3422.93,0,0.0971812,0.026593,0.0705883,0
240,0.1,4.05265,298.626,4703.89,1289.74,3414.16,0,0.0970044,0.0265972,0.0704073,0
250,0.104167,4.05177,298.642,4695.39,1289.9,3405.49,0,0.0968291,0.0266005,0.0702285,0
260,0.108333,4.05092,298.659,4686.96,1290.04,3396.93,0,0.0966553,0.0266034,0.0700519,0
270,0.1125,4.05012,298.675,4678.62,1290.15,3388.46,0,0.0964832,0.0266058,0.0698774,0
