time [s],capacity [A.h],voltage [V],temperature [K],q_total [W.m-3],q_ohmic [W.m-3],q_irreversible [W.m-3],q_reversible [W.m-3],Q_total [W],Q_ohmic [W],Q_irreversible [W],Q_reversible [W]
0,0,4.06605,298.15,19499,3211.58,16287.4,0,0.402111,0.0662297,0.335882,0
10,0.00972222,4.03844,298.245,20003.7,4294.31,15709.4,0,0.412519,0.0885579,0.323961,0
20,0.0194444,4.0222,298.34,20411,5033.02,15378,0,0.420919,0.103792,0.317127,0
30,0.0291667,4.01109,298.437,20698.1,5563.96,15134.2,0,0.42684,0.114741,0.312099,0
40,0.0388889,4.00291,298.533,20893.2,5951.94,14941.2,0,0.430862,0.122742,0.30812,0
50,0.0486111,3.99666,298.628,21020.1,6239.38,14780.7,0,0.43348,0.128669,0.304811,0
60,0.0583333,3.99178,298.723,21097,6454.79,14642.2,0,0.435065,0.133112,0.301953,0
70,0.0680556,3.98794,298.817,21136.8,6617.78,14519,0,0.435886,0.136473,0.299414,0
80,0.0777778,3.98489,298.911,21149.2,6742.07,14407.1,0,0.436142,0.139036,0.297106,0
90,0.0875,3.98247,299.002,21141.2,6837.43,14303.7,0,0.435977,0.141003,0.294974,0
100,0.0972222,3.98055,299.093,21118,6910.99,14207,0,0.435498,0.14252,0.292978,0
110,0.106944,3.97903,299.183,21083.5,6968.02,14115.4,0,0.434786,0.143696,0.291091,0
120,0.116667,3.97783,299.271,21040.6,7012.38,14028.2,0,0.433902,0.14461,0.289292,0
130,0.126389,3.97688,299.358,20991.6,7047.02,13944.6,0,0.432892,0.145325,0.287567,0
140,0.136111,3.97614,299.443,20938.1,7074.16,13864,0,0.431789,0.145884,0.285905,0
150,0.145833,3.97556,299.528,20881.5,7095.49,13786,0,0.430621,0.146324,0.284297,0
160,0.155556,3.97511,299.61,20822.7,7112.33,13710.4,0,0.429409,0.146672,0.282737,0
170,0.165278,3.97475,299.692,20762.4,7125.67,13636.8,0,0.428166,0.146947,0.28122,0
180,0.175,3.97445,299.772,20701.3,7136.28,13565.1,0,0.426906,0.147165,0.279741,0
190,0.184722,3.9742,299.851,20639.8,7144.78,13495.1,0,0.425638,0.147341,0.278297,0
200,0.194444,3.97398,299.929,20578.3,7151.63,13426.6,0,0.424368,0.147482,0.276886,0
210,0.204167,3.97376,300.006,20516.9,7157.18,13359.7,0,0.423102,0.147597,0.275505,0
220,0.213889,3.97354,300.081,20455.8,7161.72,13294.1,0,0.421843,0.14769,0.274153,0
230,0.223611,3.9733,300.155,20395.3,7165.46,13229.8,0,0.420595,0.147767,0.272827,0
240,0.233333,3.97304,300.228,20335.4,7168.58,13166.8,0,0.419359,0.147832,0.271528,0
250,0.243056,3.97274,300.299,20276.1,7171.19,13104.9,0,0.418138,0.147886,0.270252,0
260,0.252778,3.97239,300.37,20217.7,7173.43,13044.2,0,0.416932,0.147932,0.269,0
270,0.2625,3.972,300.439,20160,7175.37,12984.6,0,0.415742,0.147972,0.267771,0
280,0.272222,3.97156,300.507,20103.1,7177.08,12926.1,0,0.41457,0.148007,0.266563,0
290,0.281944,3.97106,300.575,20047.1,7178.6,12868.5,0,0.413415,0.148038,0.265377,0
300,0.291667,3.9705,300.641,19992,7179.97,12812,0,0.412277,0.148067,0.264211,0
310,0.301389,3.96989,300.705,19937.6,7181.22,12756.4,0,0.411157,0.148092,0.263065,0
320,0.311111,3.96921,300.769,19884.1,7182.37,12701.8,0,0.410054,0.148116,0.261938,0
330,0.320833,3.96847,300.832,19831.5,7183.44,12648.1,0,0.408968,0.148138,0.26083,0
340,0.330556,3.96766,300.894,19779.7,7184.42,12595.2,0,0.4079,0.148158,0.259741,0
350,0.340278,3.9668,300.955,19728.7,7185.36,12543.3,0,0.406848,0.148178,0.25867,0
360,0.35,3.96587,301.015,19678.5,7186.25,12492.2,0,0.405812,0.148196,0.257616,0
370,0.359722,3.96488,301.073,19629,7187.09,12442,0,0.404793,0.148213,0.25658,0
380,0.369444,3.96384,301.131,19580.4,7187.9,12392.5,0,0.40379,0.14823,0.255561,0
390,0.379167,3.96274,301.188,19532.6,7188.7,12343.9,0,0.402804,0.148247,0.254557,0
400,0.388889,3.96158,301.244,19485.5,7189.46,12296,0,0.401833,0.148262,0.253571,0
410,0.398611,3.96037,301.299,19439.1,7190.21,12248.9,0,0.400877,0.148278,0.252599,0
420,0.408333,3.95911,301.353,19393.5,7190.96,12202.6,0,0.399937,0.148293,0.251644,0
430,0.418056,3.95779,301.407,19348.7,7191.69,12157,0,0.399011,0.148308,0.250703,0
440,0.427778,3.95644,301.459,19304.5,7192.41,12112.1,0,0.398101,0.148323,0.249777,0
450,0.4375,3.95504,301.511,19261,7193.12,12067.9,0,0.397204,0.148338,0.248866,0
460,0.447222,3.95359,301.561,19218.2,7193.82,12024.4,0,0.396322,0.148352,0.24797,0
470,0.456944,3.95211,301.611,19176.1,7194.5,11981.6,0,0.395453,0.148366,0.247087,0
480,0.466667,3.9506,301.66,19134.6,7195.16,11939.5,0,0.394598,0.14838,0.246218,0
490,0.476389,3.94904,301.709,19093.8,7195.82,11898,0,0.393756,0.148393,0.245362,0
500,0.486111,3.94746,301.756,19053.6,7196.46,11857.2,0,0.392927,0.148406,0.24452,0
510,0.495833,3.94585,301.803,19014,7197.08,11816.9,0,0.39211,0.148419,0.243691,0
520,0.505556,3.94421,301.849,18975,7197.7,11777.4,0,0.391306,0.148432,0.242874,0
530,0.515278,3.94255,301.894,18936.7,7198.29,11738.4,0,0.390515,0.148444,0.242071,0
540,0.525,3.94086,301.938,18898.9,7198.88,11700,0,0.389735,0.148456,0.241279,0
550,0.534722,3.93915,301.982,18861.6,7199.46,11662.2,0,0.388968,0.148468,0.240499,0
560,0.544444,3.93743,302.025,18825,7200.02,11625,0,0.388212,0.14848,0.239732,0
570,0.554167,3.93569,302.067,18788.9,7200.58,11588.3,0,0.387467,0.148491,0.238976,0
580,0.563889,3.93393,302.109,18753.3,7201.13,11552.2,0,0.386734,0.148503,0.238231,0
590,0.573611,3.93217,302.15,18718.3,7201.66,11516.6,0,0.386012,0.148514,0.237498,0
600,0.583333,3.93039,302.19,18683.8,7202.19,11481.7,0,0.385301,0.148525,0.236776,0
610,0.593056,3.9286,302.23,18649.9,7202.71,11447.2,0,0.384601,0.148536,0.236065,0
620,0.602778,3.92681,302.269,18616.4,7203.23,11413.2,0,0.383911,0.148546,0.235364,0
630,0.6125,3.92501,302.307,18583.4,7203.73,11379.7,0,0.383231,0.148556,0.234674,0
640,0.622222,3.92321,302.345,18551,7204.23,11346.7,0,0.382561,0.148567,0.233994,0
650,0.631944,3.9214,302.382,18518.9,7204.72,11314.2,0,0.381901,0.148577,0.233324,0
660,0.641667,3.91959,302.418,18487.4,7205.2,11282.2,0,0.38125,0.148587,0.232663,0
670,0.651389,3.91778,302.454,18456.3,7205.67,11250.7,0,0.38061,0.148596,0.232013,0
680,0.661111,3.91598,302.489,18425.7,7206.13,11219.6,0,0.379978,0.148606,0.231372,0
690,0.670833,3.91417,302.524,18395.6,7206.59,11189,0,0.379357,0.148615,0.230741,0
700,0.680556,3.91237,302.558,18365.9,7207.04,11158.8,0,0.378744,0.148625,0.230119,0
710,0.690278,3.91057,302.592,18336.6,7207.48,11129.1,0,0.37814,0.148634,0.229506,0
720,0.7,3.90878,302.625,18307.8,7207.92,11099.8,0,0.377545,0.148643,0.228903,0
730,0.709722,3.90699,302.657,18279.3,7208.35,11071,0,0.376959,0.148652,0.228308,0
740,0.719444,3.90521,302.689,18251.3,7208.77,11042.6,0,0.376382,0.14866,0.227721,0
750,0.729167,3.90343,302.721,18223.7,7209.18,11014.5,0,0.375813,0.148669,0.227144,0
760,0.738889,3.90166,302.751,18196.5,7209.59,10986.9,0,0.375252,0.148677,0.226574,0
770,0.748611,3.8999,302.782,18169.7,7209.99,10959.7,0,0.374699,0.148686,0.226013,0
780,0.758333,3.89815,302.812,18143.3,7210.38,10932.9,0,0.374154,0.148694,0.225461,0
790,0.768056,3.89641,302.841,18117.3,7210.77,10906.5,0,0.373617,0.148702,0.224916,0
800,0.777778,3.89468,302.87,18091.6,7211.15,10880.5,0,0.373088,0.148709,0.224379,0
810,0.7875,3.89296,302.898,18066.3,7211.52,10854.8,0,0.372567,0.148717,0.22385,0
820,0.797222,3.89124,302.926,18041.4,7211.89,10829.5,0,0.372053,0.148725,0.223328,0
830,0.806944,3.88954,302.954,18016.9,7212.25,10804.6,0,0.371547,0.148732,0.222814,0
840,0.816667,3.88785,302.981,17992.7,7212.61,10780,0,0.371047,0.14874,0.222308,0
850,0.826389,3.88617,303.007,17968.8,7212.96,10755.8,0,0.370555,0.148747,0.221809,0
860,0.836111,3.8845,303.033,17945.3,7213.3,10732,0,0.37007,0.148754,0.221317,0
870,0.845833,3.88285,303.059,17922.1,7213.64,10708.5,0,0.369592,0.148761,0.220832,0
880,0.855556,3.8812,303.084,17899.3,7213.97,10685.3,0,0.369121,0.148768,0.220354,0
890,0.865278,3.87957,303.109,17876.7,7214.3,10662.4,0,0.368657,0.148774,0.219882,0
900,0.875,3.87794,303.134,17854.5,7214.62,10639.9,0,0.368199,0.148781,0.219418,0
910,0.884722,3.87633,303.158,17832.7,7214.94,10617.7,0,0.367748,0.148788,0.21896,0
920,0.894444,3.87473,303.181,17811.1,7215.25,10595.8,0,0.367303,0.148794,0.218509,0
930,0.904167,3.87314,303.204,17789.8,7215.56,10574.3,0,0.366865,0.1488,0.218064,0
940,0.913889,3.87157,303.227,17768.9,7215.86,10553,0,0.366433,0.148807,0.217626,0
950,0.923611,3.87,303.25,17748.2,7216.15,10532.1,0,0.366007,0.148813,0.217194,0
960,0.933333,3.86845,303.272,17727.9,7216.44,10511.4,0,0.365587,0.148819,0.216768,0
970,0.943056,3.8669,303.293,17707.8,7216.73,10491.1,0,0.365173,0.148825,0.216348,0
980,0.952778,3.86537,303.315,17688,7217.01,10471,0,0.364765,0.14883,0.215934,0
990,0.9625,3.86385,303.336,17668.5,7217.29,10451.2,0,0.364362,0.148836,0.215526,0
1000,0.972222,3.86234,303.356,17649.3,7217.56,10431.7,0,0.363966,0.148842,0.215124,0
1010,0.981944,3.86084,303.377,17630.3,7217.83,10412.5,0,0.363575,0.148847,0.214728,0
