time [s],capacity [A.h],voltage [V],temperature [K],q_total [W.m-3],q_ohmic [W.m-3],q_irreversible [W.m-3],q_reversible [W.m-3],Q_total [W],Q_ohmic [W],Q_irreversible [W],Q_reversible [W]
0,0,3.80228,298.15,458977,163856,295121,0,9.46509,3.37907,6.08602,0
10,0.0694444,3.67698,300.444,504791,225084,279707,0,10.4099,4.64171,5.76816,0
20,0.138889,3.01348,303.376,1.26652e+06,750309,516212,0,26.1184,15.473,10.6454,0
30,0.208333,2.20446,312.074,2.18901e+06,1.39726e+06,791752,0,45.1421,28.8144,16.3276,0
40,0.277778,1.84673,323.393,2.57516e+06,1.6869e+06,888265,0,53.1054,34.7874,18.3179,0
50,0.347222,1.6743,335.895,2.74721e+06,1.83299e+06,914226,0,56.6534,37.8001,18.8533,0
60,0.416667,1.50184,349.085,2.92555e+06,1.98235e+06,943205,0,60.3312,40.8803,19.4509,0
60.2335,0.418288,1.50001,349.4,2.9271e+06,1.98403e+06,943075,0,60.3632,40.9149,19.4482,0
