elem,x,y,r,lam_r,lam_t,f_NE,f_SP,f_PE,f_PCC,f_NCC
1.0,0.0021071583719373403,1.8393420800818735e-5,0.002107238648647651,1.3363118795005622,25.333833795721404,0.4741969568102658,0.06678830377609332,0.3848913447001789,0.0407292428254159,0.03339415188804612
2.0,0.002107553814710851,5.519276854936703e-5,0.002108276386910029,1.336302962370462,25.333799091091123,0.4741880504752841,0.06678704936271547,0.38490110031503083,0.04073027516561163,0.033393524681358006
3.0,0.0021073063279930804,9.201151369341673e-5,0.0021093141251724064,1.3362940541332722,25.333764420608297,0.47417915290376234,0.0667857961836277,0.3849108463307681,0.04073130649002795,0.03339289809181385
4.0,0.0021064153553698073,0.00012883841882354566,0.0021103518634347836,1.336285154775699,25.333729784223117,0.4741702640827722,0.06678454423700916,0.3849205827615504,0.04073233680016388,0.03339227211850431
5.0,0.002104880536920132,0.0001656622330216331,0.0021113896016971613,1.3362762642844703,25.33369518188539,0.474161383999411,0.06678329352104312,0.38493030962151026,0.04073336609751442,0.033391646760521296
6.0,0.002102701709518413,0.00020247169529807518,0.002112427339959539,1.336267382646346,25.333660613544602,0.4741525126408016,0.06678204403391431,0.384940026924755,0.040734394383571654,0.03339102201695742
7.0,0.0020998789070760604,0.00023925553803542542,0.0021134650782219165,1.3362585098481032,25.33362607915072,0.47414364999409236,0.06678079577381475,0.3849497346853594,0.04073542165982633,0.033390397886907106
8.0,0.002096412360723043,0.00027600249043740224,0.0021145028164842937,1.336249645876554,25.333591578653962,0.4741347960464564,0.06677954873893685,0.3849594329173743,0.04073644792776417,0.03338977436946816
9.0,0.0020923024989289996,0.00031270128198221294,0.0021155405547466717,1.3362407907185392,25.333557112004442,0.4741259507850927,0.06677830292747643,0.3849691216348223,0.04073747318887001,0.033389151463738484
10.0,0.0020875499475638544,0.00034934064587913285,0.0021165782930090494,1.3362319443609103,25.33352267915226,0.4741171141972239,0.06677705833763616,0.38497880085169733,0.04073849744462426,0.03338852916881835
11.0,0.002082155529897871,0.00038590932252727874,0.0021176160312714265,1.3362231067905583,25.333488280047405,0.4741082862700999,0.06677581496761903,0.3849884705819675,0.040739520696504404,0.03338790748380925
12.0,0.0020761202665410742,0.00042239606297551577,0.002118653769533804,1.3362142779943997,25.33345391464094,0.4740994669909929,0.06677457281563255,0.38499813083957196,0.04074054294598661,0.033387286407816005
13.0,0.002069445375322006,0.00045878963238243757,0.0021196915077961818,1.3362054579593756,25.33341958288292,0.4740906563472027,0.06677333187988671,0.3850077816384248,0.04074156419454207,0.033386665939943626
14.0,0.0020621322711057944,0.0004950788134753529,0.0021207292460585594,1.3361966466724458,25.333385284724216,0.47408185432605215,0.06677209215859829,0.38501742299240893,0.04074258444364121,0.03338604607929942
15.0,0.0020541825655515365,0.0005312524100072113,0.002121766984320937,1.3361878441206019,25.33335102011504,0.4740730609148897,0.06677085364998421,0.3850270549153848,0.040743603694749414,0.033385426824991835
16.0,0.0020455980668090032,0.0005672992502104085,0.0021228047225833146,1.3361790502908704,25.333316789006908,0.474064276101089,0.06676961635226505,0.38503667742118175,0.04074462194933143,0.03338480817613279
17.0,0.0020363807791547108,0.0006032081902464005,0.002123842460845692,1.336170265170281,25.333282591349978,0.4740554998720462,0.06676838026366781,0.3850462905236054,0.04074563920884683,0.033384190131833635
18.0,0.0020265329025674073,0.0006389681176500665,0.00212488019910807,1.3361614887459115,25.333248427095942,0.4740467322151843,0.06676714538241946,0.38505589423643183,0.04074665547475463,0.03338357269120972
19.0,0.002016056832243046,0.0006745679547677538,0.002125917937370447,1.336152721004849,25.333214296195223,0.47403797311795026,0.06676591170675301,0.38506548857341194,0.04074767074850884,0.03338295585337597
20.0,0.002004955158049344,0.0007099966621879394,0.0021269556756328247,1.3361439619342201,25.333180198599877,0.47402922256781416,0.0667646792349028,0.38507507354826875,0.040748685031562704,0.03338233961745167
21.0,0.0019932306639200265,0.0007452432421634483,0.0021279934138952023,1.3361352115211649,25.333146134260193,0.4740204805522736,0.06676344796510869,0.3850846491746985,0.040749698325365055,0.03338172398255408
22.0,0.001980886327188892,0.0007802967420241696,0.00212903115215758,1.3361264697528599,25.333112103128208,0.47401174705884824,0.06676221789561143,0.3850942154663719,0.040750710631362486,0.03338110894780598
23.0,0.0019679253178638456,0.0008151462575792096,0.0021300688904199575,1.3361177366164907,25.333078105154808,0.47400302207508194,0.06676098902465875,0.38510377243693206,0.04075172195099815,0.03338049451232911
24.0,0.001954350997841062,0.0008497809365074232,0.002131106628682335,1.3361090120992865,25.333044140292106,0.47399430558854344,0.06675976135049821,0.38511332009999577,0.040752732285713515,0.03337988067524911
25.0,0.0019401669200594684,0.0008841899817352745,0.0021321443669447123,1.3361002961884902,25.333010208491686,0.4739855975868256,0.06675853487138342,0.385122858469152,0.04075374163694724,0.03337926743569171
26.0,0.0019253768275957466,0.0009183626548009733,0.00213318210520709,1.3360915888713765,25.332976309704847,0.4739768980575472,0.06675730958556927,0.3851323875579654,0.040754750006133614,0.033378654792784374
27.0,0.0019099846527000756,0.0009522882792038402,0.0021342198434694676,1.3360828901352395,25.33294244388408,0.4739682069883467,0.06675608549131558,0.38514190737997384,0.04075575739470617,0.03337804274565779
28.0,0.0018939945157728589,0.000985956243737856,0.002135257581731845,1.3360741999674004,25.332908610980635,0.47395952436689137,0.06675486258688497,0.3851514179486879,0.04075676380409357,0.03337743129344222
29.0,0.0018774107242826915,0.0010193560058083537,0.0021362953199942233,1.3360655183552048,25.332874810947217,0.4739508501808682,0.06675364087054408,0.38516091927759205,0.04075776923572385,0.03337682043527177
30.0,0.0018602377716258438,0.0010524770947308206,0.002137333058256601,1.3360568452860269,25.33284104373555,0.47394218441799235,0.06675242034056143,0.3851704113801453,0.040758773691020225,0.033376210170280717
31.0,0.00184248033592756,0.0010853091150107765,0.002138370796518978,1.3360481807472604,25.33280730929801,0.47393352706599917,0.06675120099521069,0.3851798942697797,0.040759777171405054,0.033375600497605344
32.0,0.0018241432787854802,0.001117841749603702,0.0021394085347813557,1.33603952472633,25.332773607586837,0.4739248781126505,0.06674998283276709,0.3851893679599021,0.04076077967829656,0.03337499141638381
33.0,0.0018052316439555207,0.0011500647631539958,0.0021404462730437333,1.3360308772106781,25.332739938554077,0.4739162375457312,0.06674876585151056,0.3851988324638929,0.0407617812131101,0.03337438292575528
34.0,0.0017857506559805637,0.0011819680052119425,0.002141484011306111,1.336022238187777,25.332706302152687,0.4739076053530485,0.066747550049724,0.38520828779510585,0.0407627817772599,0.03337377502486174
35.0,0.0017657057187623188,0.0012135414134276839,0.0021425217495684885,1.3360136076451208,25.33267269833554,0.47389898152243254,0.06674633542569353,0.38521773396687065,0.04076378137215588,0.03337316771284729
36.0,0.0017451024140767441,0.0012447750167211928,0.002143559487830866,1.3360049855702252,25.33263912705435,0.4738903660417411,0.06674512197770915,0.38522717099248993,0.04076477999920519,0.03337256098885458
37.0,0.0017239465000334312,0.001275658938427242,0.0021445972260932438,1.335996371950642,25.332605588262776,0.4738817588988523,0.06674390970406265,0.3852365988852395,0.0407657776598139,0.033371954852031586
38.0,0.001702243909479375,0.0013061833994143864,0.0021456349643556214,1.3359877667739317,25.3325720819132,0.4738731600816674,0.06674269860305108,0.3852460176583725,0.04076677435538319,0.033371349301525806
39.0,0.0016800007483475615,0.0013363387211769696,0.0021466727026179994,1.3359791700276944,25.33253860795863,0.4738645695781135,0.06674148867297287,0.3852554273251134,0.04076777008731367,0.03337074433648644
40.0,0.001657223293950836,0.001366115328899183,0.0021477104408803766,1.3359705816995422,25.332505166352398,0.47385598737613843,0.06674027991213172,0.3852648278986623,0.04076876485700168,0.03337013995606586
41.0,0.0016339179932215195,0.001395503754490207,0.0021487481791427543,1.3359620017771212,25.3324717570473,0.4738474134637154,0.06673907231883197,0.38527421939219536,0.0407697586658408,0.033369536159416506
42.0,0.0016100914608972654,0.0014244946395894705,0.0021497859174051323,1.335953430248087,25.33243837999646,0.473838847828839,0.06673786589138545,0.38528360181886007,0.04077075151522302,0.03336893294569246
43.0,0.0015857504776536637,0.001453078738541077,0.00215082365566751,1.3359448671001442,25.332405035153762,0.4738302904595285,0.06673666062810156,0.3852929751917812,0.04077174340653765,0.03336833031405104
