capacity [A.h],voltage [V],temperature [K],temperature max [K]
0.0,4.064321576917501,298.15,298.15
0.0004861111111111111,4.064321576917501,298.15390222055856,298.15397898576936
0.0014583333333333334,4.060347607003663,298.15779576838884,298.157929011563
0.0034027777777777776,4.053251578126183,298.1694353253817,298.1697173520124
0.007291666666666667,4.041897589950487,298.19253548814504,298.19307558802984
0.015069444444444444,4.0262253946202975,298.2381356537825,298.2392171080199
0.02479166666666667,4.013529417367661,298.3053315970754,298.30734973359137
0.0345138888888889,4.00458605553272,298.37827312250164,298.38146721035406
0.04423611111111112,3.997842514503084,298.4493972025976,298.45383386974515
0.053958333333333344,3.9926092576442365,298.51891437631616,298.524605629974
0.06368055555555557,3.988487738757994,298.58700972769236,298.5939465825954
0.07340277777777779,3.985215139802571,298.6538090673231,298.6619744682759
0.08312500000000002,3.9826068676926747,298.7194028628619,298.7287772889548
0.09284722222222223,3.9805252428459363,298.7838590648998,298.7944225044906
0.10256944444444446,3.9788654023176475,298.84723066830475,298.85896346120023
0.11229166666666668,3.977543751077767,298.90956039419865,298.92244336758995
0.12201388888888891,3.976493817909699,298.97088369373074,298.98489827776154
0.1317361111111111,3.9756602949360866,299.03123073623493,299.0463588488254
0.14145833333333332,3.9749981818201707,299.0906277650117,299.10685184041773
0.1511805555555555,3.9744688998529094,299.1490980465731,299.16640091425614
0.16090277777777776,3.974040758764335,299.2066625496289,299.22502746457616
0.17062499999999994,3.973685988831174,299.2633404414461,299.28275098366737
0.18034722222222216,3.973381804282906,299.3191494557924,299.339589567817
0.19006944444444437,3.973107898850877,299.3741061703464,299.39556007390945
0.19979166666666656,3.972847795610051,299.4282262176942,299.4506784546875
0.2095138888888888,3.97258660377121,299.4815244478653,299.50495980930907
0.21923611111111102,3.9723125087557816,299.5340150542894,299.5584186218016
0.22895833333333326,3.9720146916510375,299.5857116723393,299.61106875608016
0.23868055555555548,3.971684885814245,299.6366274568205,299.66292363583295
0.24840277777777775,3.9713154073835675,299.6867751433575,299.7139962103696
0.258125,3.97090073954076,299.736167097289,299.76429909711845
0.26784722222222224,3.970435645428806,299.7848153528621,299.81384453269885
0.2775694444444444,3.969916758964128,299.83273164486025,299.86264449035275
0.2872916666666667,3.9693407633846225,299.8799274342777,299.91071062438095
0.29701388888888897,3.9687059769421773,299.92641392934763,299.95805436995914
0.30673611111111115,3.9680105867047137,299.9722021028596,300.00468688555196
0.3164583333333334,3.9672542226169782,300.01730270658845,300.0506191398318
0.3261805555555557,3.9664362397383672,300.0617262833869,300.0958618546603
0.3359027777777779,3.965557277025919,300.1054831774555,300.14042558213845
0.3456250000000001,3.9646175832186157,300.14858354312304,300.18432064959853
0.35534722222222237,3.963618558305079,300.19103735246307,300.2275572288093
0.3650694444444446,3.9625611194520403,300.2328544019471,300.2701452836998
0.37479166666666686,3.961447224027285,300.27404431834333,300.31209463314417
0.3845138888888891,3.960278272688018,300.3146165639774,300.3534149017414
0.3942361111111113,3.9590566133452914,300.3545804414978,300.39411557714897
0.4039583333333336,3.9577839789835596,300.3939450982091,300.4342059640278
0.41368055555555583,3.9564629722491667,300.4327195300701,300.47369523667584
0.423402777777778,3.9550955358811626,300.4709125853915,300.5125923960641
0.43312500000000026,3.9536844177813726,300.50853296830206,300.5509063183434
0.44284722222222245,3.9522316721628363,300.5455892419991,300.5886457148742
0.4525694444444447,3.9507401050676187,300.582089831829,300.6258191770302
0.4622916666666669,3.949211804519139,300.6180430282102,300.66243513904834
0.47201388888888907,3.9476495665265863,300.65345698943014,300.69850191954873
0.48173611111111125,3.9460554526800387,300.688339744318,300.7340276869852
0.4914583333333334,3.9444321967338296,300.72269919482034,300.7690204981914
0.5011805555555555,3.9427817882190004,300.7565431184768,300.8034882662901
0.5109027777777778,3.941106859740859,300.7898791708195,300.8374387964973
0.520625,3.939409295306723,300.8227148876865,300.87087975631187
0.5303472222222221,3.937691598509608,300.8550576874726,300.9038187088398
0.5400694444444443,3.9359555243829125,300.88691487330834,300.93626308507874
0.5497916666666666,3.934203428674303,300.9182936351838,300.9682202149564
0.5595138888888888,3.9324369221439484,300.94920105200896,300.99969730157966
0.5692361111111108,3.930658201161161,300.9796440936272,301.03070145015914
0.5789583333333331,3.9288687234592374,301.0096296227696,301.0612396440533
0.5886805555555553,3.9270705203123475,301.03916439696985,301.0913187717775
0.5984027777777774,3.9252648928483485,301.0682550704251,301.1209456047052
0.6081249999999996,3.92345370608471,301.0969081958186,301.15012682228394
0.6178472222222219,3.9216381049809543,301.1251302260952,301.1788689912857
0.627569444444444,3.919819790630102,301.15292751620177,301.2071785893777
0.6372916666666661,3.9179997553048223,301.18030632478235,301.2350619857752
0.6470138888888883,3.9161795411151332,301.2072728158426,301.2625254633152
0.6567361111111106,3.914359993367377,301.2338330603706,301.2895752004114
0.6664583333333328,3.9125425020095816,301.25999303792975,301.3162172917032
0.676180555555555,3.910727772680504,301.28575863821095,301.34245773125366
0.6859027777777772,3.9089170512714957,301.31113566255834,301.36830243188007
0.6956249999999994,3.9071109120945344,301.33612982545685,301.3937572094772
0.7053472222222216,3.9053104658938955,301.36074675599616,301.4188278011293
0.7150694444444438,3.9035161646078587,301.3849919992962,301.4435198504918
0.724791666666666,3.9017289931652908,301.40887101791105,301.467838924778
0.7345138888888881,3.899949290356081,301.4323891931996,301.4917905010844
0.7442361111111103,3.898177924747197,301.45555182667187,301.51537998234807
0.7539583333333324,3.8964151312125686,301.478364141305,301.5386126845906
0.7636805555555547,3.8946616713005557,301.5008312828382,301.56149385186455
0.7734027777777769,3.892917685005356,301.52295832103607,301.5840286443462
0.783124999999999,3.8911838359135618,301.5447502509337,301.60622215239573
0.7928472222222213,3.889460177826732,301.56621199405157,301.6280793853921
0.8025694444444434,3.88774728500894,301.5873483995922,301.64960528496465
0.8122916666666655,3.8860451332945334,301.6081642456099,301.6708047145636
