node_id,x,y
1,3.31776e-7,0.0
2,3.315577336789489e-7,2.6094159551435558e-8
3,3.2928536846197265e-7,5.2153678790908255e-8
4,3.2496304027650806e-7,7.801672345648582e-8
5,3.186076458835161e-7,1.0352189951795342e-7
6,3.1024879882660383e-7,1.285092601839413e-7
7,2.999287058543005e-7,1.5282130866669478e-7
8,2.8770196421363197e-7,1.7630399041952015e-7
9,2.736352807101643e-7,1.988076685986193e-7
10,2.5780711392338033e-7,2.2018807657703868e-7
11,2.4030724145349594e-7,2.4030724145349594e-7
12,2.212362545535373e-7,2.5903437265237243e-7
13,2.0070498296563525e-7,2.762467099023752e-7
14,1.7883385323008149e-7,2.918303251092508e-7
15,1.557521841668374e-7,3.05680872901208e-7
16,1.315974236391038e-7,3.177042849228821e-7
17,1.0651433109458606e-7,3.2781740328304165e-7
18,8.065411073968762e-8,3.3594854892086776e-7
19,5.417350053267316e-8,3.420380210434143e-7
20,2.7233822481648898e-8,3.460385242004682e-7
21,2.130368139708435e-23,3.4791552000000006e-7
22,-2.7360451696117e-8,3.476475009250813e-7
23,-5.4678455968114326e-8,3.4522618418877464e-7
24,-8.178441957534546e-8,3.406566240541648e-7
25,-1.0850928547900773e-7,3.3395724154939203e-7
26,-1.3468558709426627e-7,3.2515977101916036e-7
27,-1.601484974170512e-7,3.143091234715692e-7
28,-1.847368664547245e-7,3.0146316719902813e-7
29,-2.0829424043369868e-7,2.8669242667121865e-7
30,-2.3066985634202462e-7,2.7007970121330134e-7
31,-2.517196054905918e-7,2.517196054905919e-7
32,-2.7130695994229344e-7,2.317180343185233e-7
33,-2.893038558634295e-7,2.1019155480071467e-7
34,-3.0559152809464694e-7,1.8726672926528585e-7
35,-3.2006129051847664e-7,1.630793729171938e-7
36,-3.326152571154387e-7,1.3777375054942887e-7
37,-3.431669989489176e-7,1.1150171705564042e-7
38,-3.516421326985245e-7,8.44218068585473e-8
39,-3.5797883677021626e-7,5.669827770987929e-8
40,-3.621282914466007e-7,2.8500114626330397e-8
41,-3.6405504000000005e-7,4.458388394494617e-23
42,-3.6373726817121394e-7,-2.862674384079845e-8
43,-3.6116699991557667e-7,-5.720323314532041e-8
44,-3.563502078318215e-7,-8.55521156942051e-8
45,-3.4930683721526803e-7,-1.1349667144006207e-7
46,-3.40070743211717e-7,-1.4086191400459128e-7
47,-3.2868954108883786e-7,-1.6747568616740757e-7
48,-3.152243701844243e-7,-1.931697424899288e-7
49,-2.99749572632273e-7,-2.1778081226877813e-7
50,-2.823522885032224e-7,-2.4115163610701056e-7
51,-2.631319695276878e-7,-2.6313196952768776e-7
52,-2.421998140835094e-7,-2.8357954723221435e-7
53,-2.196781266357941e-7,-3.0236100182448387e-7
54,-1.9569960530049008e-7,-3.193527310800432e-7
55,-1.7040656166755023e-7,-3.3444170813574526e-7
56,-1.4395007745975403e-7,-3.475262293079952e-7
57,-1.164891030166948e-7,-3.585165946147936e-7
58,-8.818950297740681e-8,-3.673357164761812e-7
59,-5.922305488708542e-8,-3.739196524970183e-7
60,-2.9766406771012055e-8,-3.7821805869273314e-7
61,-6.984060764358545e-23,-3.8019456000000004e-7
62,2.989303598548007e-8,-3.798270354173464e-7
63,5.97280103225265e-8,-3.771078156423788e-7
64,8.931981181306455e-8,-3.7204379160947824e-7
65,1.184840574011164e-7,-3.6465643288114393e-7
66,1.470382409149164e-7,-3.5498171540427347e-7
67,1.7480287491776398e-7,-3.4306995870610654e-7
68,2.0160261852513303e-7,-3.2898557316982054e-7
69,2.272673841038575e-7,-3.128067185933274e-7
70,2.516334158719967e-7,-2.946248757931433e-7
71,2.745443335647836e-7,-2.7454433356478375e-7
72,2.9585213452213525e-7,-2.5268159384849537e-7
73,3.154181477855382e-7,-2.2916469847087355e-7
74,3.331139340654393e-7,-2.0413248133569447e-7
75,3.4882212575301393e-7,-1.777337504179067e-7
76,3.6243720150055176e-7,-1.5012640437007906e-7
77,3.7386619028066955e-7,-1.2147648897774918e-7
78,3.8302930025383794e-7,-9.19571990962665e-8
79,3.898604682238204e-7,-6.174783206429155e-8
80,3.943078259388656e-7,-3.103269891569355e-8
81,3.9633408000000003e-7,-9.70738524930022e-23
82,3.9591680266347896e-7,3.115932813016151e-8
83,3.9304863136918084e-7,6.225278749973258e-8
84,3.8773737538713504e-7,9.308750793192421e-8
85,3.800060285470199e-7,1.2347144336217072e-7
86,3.6989268759683005e-7,1.5321456782524141e-7
87,3.574503763233752e-7,1.8213006366812034e-7
88,3.4274677615521675e-7,2.1003549456033731e-7
89,3.2586386455438176e-7,2.3675395593893692e-7
90,3.068974630830643e-7,2.621151956369826e-7
91,2.859566976018796e-7,2.859566976018795e-7
92,2.631633736134814e-7,3.0812472181205627e-7
93,2.38651270305953e-7,3.284752937465925e-7
94,2.125653573708988e-7,3.468751370508355e-7
95,1.850609391682631e-7,3.6320254337028255e-7
96,1.5630273128040414e-7,3.773481736931083e-7
