capacity [A.h],voltage [V],temperature [K],temperature max [K]
0.0,4.118971032221332,298.15,298.15
0.00020833333333333335,4.118971032221332,298.1508885995152,298.1509103618834
0.000625,4.117211971231288,298.15177517102285,298.15181957566153
0.0014583333333333334,4.114048818244255,298.1544259206269,298.15454196129906
0.003125,4.108878925914391,298.1596872233905,298.15996447173865
0.006458333333333333,4.101409958201194,298.17007235411967,298.17073815681505
0.010625000000000002,4.094931521912538,298.18538462068307,298.1867562582267
0.01479166666666667,4.089993234404563,298.20204093086653,298.2043481106875
0.018958333333333337,4.085935897548638,298.21834257176533,298.22172335550005
0.023125000000000003,4.082476200538224,298.23434883689066,298.23891447437506
0.027291666666666676,4.079454638439355,298.25011065294535,298.2559512063275
0.03145833333333334,4.0767688255779975,298.26566533149963,298.27285393259615
0.03562500000000001,4.074349167958572,298.28104088097325,298.2896371183107
0.03979166666666668,4.072145592985037,298.29625867766276,298.30631128361665
0.04395833333333334,4.070121630527212,298.3113352462565,298.32288423008845
0.04812500000000001,4.06824937587575,298.32628349958514,298.33936184145233
0.052291666666666674,4.066507756333121,298.34111362662486,298.3557486261701
0.05645833333333333,4.0648798689864645,298.3558337409441,298.37204809138575
0.060625,4.063352668507969,298.37045036183923,298.38826300845045
0.06479166666666665,4.061915218799003,298.3849687756083,298.4043956017584
0.06895833333333332,4.060558968656922,298.39939330925364,298.42044768720007
0.07312499999999997,4.059276420641998,298.4137275395796,298.43642077225707
0.07729166666666663,4.058061675813579,298.4279744537485,298.4523161313215
0.0814583333333333,4.056909316872937,298.44213657334785,298.468134860266
0.08562499999999997,4.055815081319558,298.4562160505686,298.48387791872744
0.08979166666666663,4.05477486549147,298.4702147431546,298.49954616035393
0.0939583333333333,4.053785458368303,298.4841342729502,298.51514035715496
0.09812499999999996,4.0528436199307185,298.497976071847,298.5306612163859
0.10229166666666664,4.051946841088267,298.51174141792325,298.54610939487833
0.10645833333333332,4.051092471706219,298.5254314639953,298.5614855085615
0.110625,4.0502784884517276,298.53904726022387,298.57679014109146
